Локальный идентификатор;Наименование;Долгота в WGS-84;Широта в WGS-84;Станция метрополитена;Линия;Режим работы по чётным дням;Режим работы по нечётным дням;Количество полнофункциональных БПА (все типы билетов);Количество малофункциональных БПА (билеты на 1 и 2 поездки);Общее количество БПА;Ремонт эскалаторов;global_id;Геоданные
828;Сходненская, вход-выход 3 во 2-й вестибюль;37.4403099;55.8515441;Сходненская;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:55, по 2 пути в 05:52:55; последний поезд по 1 пути в 01:04:50, по 2 пути в 02:00:55";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:55, по 2 пути в 05:52:25; последний поезд по 1 пути в 01:04:50, по 2 пути в 02:00:55";;4;4;;1774038;{type=Point, coordinates=[37.4403099317564, 55.8515437325123]}
825;Сходненская, вход-выход 5 в 1-й вестибюль;37.44072;55.849722;Сходненская;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:55, по 2 пути в 05:52:55; последний поезд по 1 пути в 01:04:50, по 2 пути в 02:00:55";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:55, по 2 пути в 05:52:25; последний поезд по 1 пути в 01:04:50, по 2 пути в 02:00:55";;3;3;;1774039;{type=Point, coordinates=[37.4407200315384, 55.8497216323303]}
823;Сходненская, вход-выход 3 в 1-й вестибюль;37.4406824;55.8492661;Сходненская;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:55, по 2 пути в 05:52:55; последний поезд по 1 пути в 01:04:50, по 2 пути в 02:00:55";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:55, по 2 пути в 05:52:25; последний поезд по 1 пути в 01:04:50, по 2 пути в 02:00:55";;3;3;;1774040;{type=Point, coordinates=[37.4406824316529, 55.8492657324877]}
824;Сходненская, вход-выход 4 в 1-й вестибюль;37.4410096;55.8496176;Сходненская;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:55, по 2 пути в 05:52:55; последний поезд по 1 пути в 01:04:50, по 2 пути в 02:00:55";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:55, по 2 пути в 05:52:25; последний поезд по 1 пути в 01:04:50, по 2 пути в 02:00:55";;3;3;;1774041;{type=Point, coordinates=[37.4410096322127, 55.8496172324694]}
774;Таганская, вход-выход 1 в вестибюль;37.6529419;55.7393895;Таганская;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:00, по 2 пути в 05:51:10; последний поезд по 1 пути в 01:35:35, по 2 пути в 01:30:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:45, по 2 пути в 05:51:10; последний поезд по 1 пути в 01:35:35, по 2 пути в 01:30:30";;2;2;09.02.2016-12.02.2016;1774042;{type=Point, coordinates=[37.6529419309925, 55.7393891314282]}
776;Таганская, вход-выход 3 в вестибюль;37.6534996;55.7396869;Таганская;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:00, по 2 пути в 05:51:10; последний поезд по 1 пути в 01:35:35, по 2 пути в 01:30:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:45, по 2 пути в 05:51:10; последний поезд по 1 пути в 01:35:35, по 2 пути в 01:30:30";;2;2;09.02.2016-12.02.2016;1774043;{type=Point, coordinates=[37.6534996311722, 55.7396865314612]}
775;Таганская, вход-выход 2 в вестибюль;37.653618;55.7395075;Таганская;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:00, по 2 пути в 05:51:10; последний поезд по 1 пути в 01:35:35, по 2 пути в 01:30:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:45, по 2 пути в 05:51:10; последний поезд по 1 пути в 01:35:35, по 2 пути в 01:30:30";;2;2;09.02.2016-12.02.2016;1774044;{type=Point, coordinates=[37.6536180309228, 55.7395071314666]}
680;Чистые пруды, вход в вестибюль;37.6382452;55.7649693;Чистые пруды;Сокольническая линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:34:50, по 2 пути в 06:00:05; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:37:30";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:34:50, по 2 пути в 06:00:45; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:37:30";;5;5;;1774045;{type=Point, coordinates=[37.6382452302983, 55.7649689317727]}
213;Шоссе Энтузиастов, вход-выход 1 в вестибюль;37.751631;55.758527;Шоссе Энтузиастов;Калининская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:38:45, по 2 пути в 05:52:45; последний поезд по 1 пути в 01:13:35, по 2 пути в 01:14:15";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:38:45, по 2 пути в 05:52:45; последний поезд по 1 пути в 01:13:35, по 2 пути в 01:14:15";;4;4;;1774046;{type=Point, coordinates=[37.751631030405, 55.7585266315236]}
420;Таганская, вход в вестибюль;37.6535961;55.7423722;Таганская;Кольцевая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:48:40, по 2 пути в 05:48:35; последний поезд по 1 пути в 01:33:25, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:49:50, по 2 пути в 05:48:45; последний поезд по 1 пути в 01:40:50, по 2 пути в 01:33:00";;9;9;;1774047;{type=Point, coordinates=[37.6535961309004, 55.742371831561]}
746;Текстильщики, вход-выход 4 в западный вестибюль;37.7287994;55.7085789;Текстильщики;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:55, по 2 пути в 05:41:45; последний поезд по 1 пути в 01:44:00, по 2 пути в 01:21:40";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:40, по 2 пути в 05:41:45; последний поезд по 1 пути в 01:44:00, по 2 пути в 01:21:40";;5;5;;1774048;{type=Point, coordinates=[37.728799430205, 55.7085785310809]}
749;Текстильщики, вход-выход 3 в восточный вестибюль;37.7331986;55.7095502;Текстильщики;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:55, по 2 пути в 05:41:45; последний поезд по 1 пути в 01:44:00, по 2 пути в 01:21:40";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:40, по 2 пути в 05:41:45; последний поезд по 1 пути в 01:44:00, по 2 пути в 01:21:40";;3;3;;1774049;{type=Point, coordinates=[37.7331986310661, 55.7095498312321]}
748;Текстильщики, вход-выход 2 в восточный вестибюль;37.733577;55.7090224;Текстильщики;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:55, по 2 пути в 05:41:45; последний поезд по 1 пути в 01:44:00, по 2 пути в 01:21:40";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:40, по 2 пути в 05:41:45; последний поезд по 1 пути в 01:44:00, по 2 пути в 01:21:40";;3;3;;1774050;{type=Point, coordinates=[37.7335770302085, 55.7090220312861]}
743;Текстильщики, вход-выход 1 в западный вестибюль;37.7298615;55.7083382;Текстильщики;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:55, по 2 пути в 05:41:45; последний поезд по 1 пути в 01:44:00, по 2 пути в 01:21:40";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:40, по 2 пути в 05:41:45; последний поезд по 1 пути в 01:44:00, по 2 пути в 01:21:40";;5;5;;1774051;{type=Point, coordinates=[37.7298615308218, 55.7083378311195]}
750;Текстильщики, вход-выход 4 в восточный вестибюль;37.7335712;55.7095572;Текстильщики;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:55, по 2 пути в 05:41:45; последний поезд по 1 пути в 01:44:00, по 2 пути в 01:21:40";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:40, по 2 пути в 05:41:45; последний поезд по 1 пути в 01:44:00, по 2 пути в 01:21:40";;3;3;;1774052;{type=Point, coordinates=[37.7335712306861, 55.7095568311053]}
747;Текстильщики, вход-выход 1 в восточный вестибюль;37.7332301;55.7090285;Текстильщики;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:55, по 2 пути в 05:41:45; последний поезд по 1 пути в 01:44:00, по 2 пути в 01:21:40";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:40, по 2 пути в 05:41:45; последний поезд по 1 пути в 01:44:00, по 2 пути в 01:21:40";;3;3;;1774053;{type=Point, coordinates=[37.7332301304906, 55.7090281313959]}
186;Домодедовская, вход-выход 3 в южный вестибюль;37.720775;55.611579;Домодедовская;Замоскворецкая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:40, по 2 пути в 05:50:45; последний поезд по 1 пути в 01:10:35, по 2 пути в 01:08:35";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:20, по 2 пути в 05:46:15; последний поезд по 1 пути в 01:10:35, по 2 пути в 01:55:30";;6;6;;1774054;{type=Point, coordinates=[37.720775030219, 55.6115786306244]}
196;Алма-Атинская, вход в южный вестибюль;37.7650605;55.6334736;Алма-Атинская;Замоскворецкая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:30, по 2 пути в 05:45:45; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:02:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:59:00, по 2 пути в 05:53:35; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:02:30";;4;4;;1774055;{type=Point, coordinates=[37.7650605301412, 55.6334732308393]}
201;Площадь Ильича, вход-выход 2 в вестибюль;37.6790124;55.7464401;Площадь Ильича;Калининская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:10, по 2 пути в 05:46:10; последний поезд по 1 пути в 01:19:45, по 2 пути в 01:08:35";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:10, по 2 пути в 05:46:10; последний поезд по 1 пути в 01:19:45, по 2 пути в 01:08:35";;4;4;;1774056;{type=Point, coordinates=[37.6790124311189, 55.7464397313474]}
202;Площадь Ильича, вход-выход 3 в вестибюль;37.680107;55.746918;Площадь Ильича;Калининская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:10, по 2 пути в 05:46:10; последний поезд по 1 пути в 01:19:45, по 2 пути в 01:08:35";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:10, по 2 пути в 05:46:10; последний поезд по 1 пути в 01:19:45, по 2 пути в 01:08:35";;4;4;;1774057;{type=Point, coordinates=[37.6801070309874, 55.7469176315942]}
203;Площадь Ильича, вход-выход 4 в вестибюль;37.6812921;55.7464581;Площадь Ильича;Калининская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:10, по 2 пути в 05:46:10; последний поезд по 1 пути в 01:19:45, по 2 пути в 01:08:35";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:10, по 2 пути в 05:46:10; последний поезд по 1 пути в 01:19:45, по 2 пути в 01:08:35";;4;4;;1774058;{type=Point, coordinates=[37.681292130729, 55.7464577314993]}
214;Шоссе Энтузиастов, вход-выход 2 в вестибюль;37.7513205;55.758464;Шоссе Энтузиастов;Калининская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:38:45, по 2 пути в 05:52:45; последний поезд по 1 пути в 01:13:35, по 2 пути в 01:14:15";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:38:45, по 2 пути в 05:52:45; последний поезд по 1 пути в 01:13:35, по 2 пути в 01:14:15";;4;4;;1774059;{type=Point, coordinates=[37.7513205304222, 55.7584636317372]}
215;Шоссе Энтузиастов, вход-выход 3 в вестибюль;37.751679;55.758443;Шоссе Энтузиастов;Калининская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:38:45, по 2 пути в 05:52:45; последний поезд по 1 пути в 01:13:35, по 2 пути в 01:14:15";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:38:45, по 2 пути в 05:52:45; последний поезд по 1 пути в 01:13:35, по 2 пути в 01:14:15";;4;4;;1774060;{type=Point, coordinates=[37.7516790309837, 55.758442631617]}
218;Перово, вход-выход 2 в западный вестибюль;37.7847758;55.7512317;Перово;Калининская линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:30, по 2 пути в 05:57:20; последний поезд по 1 пути в 01:09:45, по 2 пути в 01:18:05";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:30, по 2 пути в 05:57:20; последний поезд по 1 пути в 01:09:45, по 2 пути в 01:18:05";;6;6;;1774061;{type=Point, coordinates=[37.7847758307318, 55.751231331288]}
184;Домодедовская, вход-выход 1 из южного вестибюля;37.720523;55.610832;Домодедовская;Замоскворецкая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:40, по 2 пути в 05:50:45; последний поезд по 1 пути в 01:08:35, по 2 пути в 01:47:20";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:20, по 2 пути в 05:46:15; последний поезд по 1 пути в 01:10:35, по 2 пути в 01:55:30";;;;;1774062;{type=Point, coordinates=[37.7205230303227, 55.6108316306699]}
312;Шаболовская, вход в вестибюль;37.6081344;55.718765;Шаболовская;Калужско-Рижская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:15, по 2 пути в 05:57:55; последний поезд по 1 пути в 01:28:30, по 2 пути в 01:35:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:45, по 2 пути в 05:58:10; последний поезд по 1 пути в 01:28:30, по 2 пути в 01:35:00";;5;5;04.02.2016-31.03.2016;1774063;{type=Point, coordinates=[37.6081344305375, 55.7187646311663]}
431;Шипиловская, вход-выход 1 в северный вестибюль;37.7439051;55.6221781;Шипиловская;Люблинско-Дмитровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:30, по 2 пути в 05:51:15; последний поезд по 1 пути в 01:54:30, по 2 пути в 01:05:05";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:30, по 2 пути в 05:42:05; последний поезд по 1 пути в 01:54:20, по 2 пути в 01:05:05";2;1;2;;1774064;{type=Point, coordinates=[37.743905130635, 55.6221777306569]}
428;Шипиловская, вход-выход 1 в южный вестибюль;37.7442272;55.62029;Шипиловская;Люблинско-Дмитровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:59:15, по 2 пути в 05:51:15; последний поезд по 1 пути в 01:54:30, по 2 пути в 01:05:05";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:30, по 2 пути в 05:42:05; последний поезд по 1 пути в 01:54:20, по 2 пути в 01:05:05";1;1;2;;1774065;{type=Point, coordinates=[37.7442272305595, 55.6202896308819]}
432;Шипиловская, вход-выход 2 в северный вестибюль;37.7425049;55.6221086;Шипиловская;Люблинско-Дмитровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:59:15, по 2 пути в 05:51:15; последний поезд по 1 пути в 01:54:30, по 2 пути в 01:05:05";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:30, по 2 пути в 05:42:05; последний поезд по 1 пути в 01:54:20, по 2 пути в 01:05:05";2;1;2;;1774066;{type=Point, coordinates=[37.7425049301959, 55.6221082307437]}
86;Щёлковская, вход-выход 4 в северный вестибюль;37.798293;55.810383;Щёлковская;Арбатско-Покровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:06:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:15; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:06:00";;8;8;;1774067;{type=Point, coordinates=[37.7982930306378, 55.8103826315886]}
85;Щёлковская, вход-выход 3 в северный вестибюль;37.798307;55.810051;Щёлковская;Арбатско-Покровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:06:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:15; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:06:00";;8;8;;1774068;{type=Point, coordinates=[37.7983070308809, 55.8100506315635]}
87;Щёлковская, вход-выход 1 в южный вестибюль;37.798438;55.808367;Щёлковская;Арбатско-Покровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:06:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:15; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:06:00";;7;7;;1774069;{type=Point, coordinates=[37.798438030399, 55.8083666317439]}
83;Щёлковская, вход-выход 1 в северный вестибюль;37.798843;55.81041;Щёлковская;Арбатско-Покровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:06:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:15; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:06:00";;8;8;;1774070;{type=Point, coordinates=[37.7988430304582, 55.8104096319706]}
84;Щёлковская, вход-выход 2 в северный вестибюль;37.798851;55.810063;Щёлковская;Арбатско-Покровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:06:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:15; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:06:00";;8;8;;1774071;{type=Point, coordinates=[37.7988510308534, 55.8100626316133]}
88;Щёлковская, вход-выход 2 в южный вестибюль;37.798854;55.808374;Щёлковская;Арбатско-Покровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:06:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:15; последний поезд по 1 пути в 01:03:00, по 2 пути в 02:06:00";;7;7;;1774072;{type=Point, coordinates=[37.7988540303251, 55.8083736315714]}
811;Щукинская, вход-выход 1 во 2-й вестибюль;37.4629558;55.8089913;Щукинская;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:25, по 2 пути в 05:44:45; последний поезд по 1 пути в 01:12:55, по 2 пути в 01:53:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:25, по 2 пути в 05:44:15; последний поезд по 1 пути в 01:12:55, по 2 пути в 01:53:00";;4;4;;1774073;{type=Point, coordinates=[37.4629558317774, 55.808990931811]}
812;Щукинская, вход-выход 2 во 2-й вестибюль;37.4632352;55.8093474;Щукинская;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:25, по 2 пути в 05:44:45; последний поезд по 1 пути в 01:12:55, по 2 пути в 01:53:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:25, по 2 пути в 05:44:15; последний поезд по 1 пути в 01:12:55, по 2 пути в 01:53:00";;4;4;;1774074;{type=Point, coordinates=[37.4632352311848, 55.8093470322853]}
814;Щукинская, вход-выход 2 в 1-й вестибюль;37.4654909;55.8077329;Щукинская;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:25, по 2 пути в 05:44:45; последний поезд по 1 пути в 01:12:55, по 2 пути в 01:53:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:25, по 2 пути в 05:44:15; последний поезд по 1 пути в 01:12:55, по 2 пути в 01:53:00";;4;4;;1774075;{type=Point, coordinates=[37.4654909313771, 55.8077325320205]}
813;Щукинская, вход-выход 1 в 1-й вестибюль;37.465866;55.807997;Щукинская;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:25, по 2 пути в 05:44:45; последний поезд по 1 пути в 01:12:55, по 2 пути в 01:53:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:25, по 2 пути в 05:44:15; последний поезд по 1 пути в 01:12:55, по 2 пути в 01:53:00";;4;4;;1774076;{type=Point, coordinates=[37.4658660310054, 55.8079966317941]}
69;Электрозаводская, вход в вестибюль;37.705514;55.782136;Электрозаводская;Арбатско-Покровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:36:15, по 2 пути в 05:55:10; последний поезд по 1 пути в 01:16:10, по 2 пути в 01:51:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:36:20, по 2 пути в 05:56:10; последний поезд по 1 пути в 01:16:10, по 2 пути в 01:51:50";;5;5;19.05.2016-27.06.2016;1774077;{type=Point, coordinates=[37.7055140310091, 55.7821356315932]}
618;Юго-Западная, вход-выход 3 в южный вестибюль;37.4820889;55.6627839;Юго-Западная;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:45, по 2 пути в 05:51:50; последний поезд по 1 пути в 01:45:15, по 2 пути в 01:11:50";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:59:15, по 2 пути в 05:49:20; последний поезд по 1 пути в 01:45:00, по 2 пути в 01:11:50";;7;7;;1774078;{type=Point, coordinates=[37.4820889309953, 55.66278353118]}
619;Юго-Западная, вход-выход 4 в южный вестибюль;37.4821613;55.6629904;Юго-Западная;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:45, по 2 пути в 05:51:50; последний поезд по 1 пути в 01:45:15, по 2 пути в 01:11:50";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:00, по 2 пути в 05:45:00; последний поезд по 1 пути в 01:43:20, по 2 пути в 01:03:00";;7;7;;1774079;{type=Point, coordinates=[37.4821613307143, 55.662990031058]}
616;Юго-Западная, вход-выход 1 в южный вестибюль;37.4831377;55.6625384;Юго-Западная;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:45, по 2 пути в 05:51:50; последний поезд по 1 пути в 01:45:15, по 2 пути в 01:11:50";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:00, по 2 пути в 05:45:00; последний поезд по 1 пути в 01:43:20, по 2 пути в 01:03:00";;7;7;;1774080;{type=Point, coordinates=[37.4831377311317, 55.6625380313605]}
621;Юго-Западная, вход-выход 2 в северный вестибюль;37.4842914;55.6645394;Юго-Западная;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:45, по 2 пути в 05:51:50; последний поезд по 1 пути в 01:45:15, по 2 пути в 01:11:50";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:00, по 2 пути в 05:45:00; последний поезд по 1 пути в 01:43:20, по 2 пути в 01:03:00";;6;6;;1774081;{type=Point, coordinates=[37.4842914311404, 55.6645390309299]}
620;Юго-Западная, вход-выход 1 в северный вестибюль;37.4841919;55.6643713;Юго-Западная;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:45, по 2 пути в 05:51:50; последний поезд по 1 пути в 01:45:15, по 2 пути в 01:11:50";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:00, по 2 пути в 05:45:00; последний поезд по 1 пути в 01:43:20, по 2 пути в 01:03:00";;6;6;;1774082;{type=Point, coordinates=[37.4841919310465, 55.6643709313054]}
617;Юго-Западная, вход-выход 2 в южный вестибюль;37.4832504;55.6627638;Юго-Западная;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:45, по 2 пути в 05:51:50; последний поезд по 1 пути в 01:45:15, по 2 пути в 01:11:50";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:00, по 2 пути в 05:45:00; последний поезд по 1 пути в 01:43:20, по 2 пути в 01:03:00";;7;7;;1774083;{type=Point, coordinates=[37.4832504310702, 55.662763431161]}
622;Юго-Западная, вход-выход 3 в северный вестибюль;37.4831888;55.6646016;Юго-Западная;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:45, по 2 пути в 05:51:50; последний поезд по 1 пути в 01:45:15, по 2 пути в 01:11:50";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:00, по 2 пути в 05:45:00; последний поезд по 1 пути в 01:43:20, по 2 пути в 01:03:00";;6;6;;1774084;{type=Point, coordinates=[37.4831888309023, 55.6646012313178]}
623;Юго-Западная, вход-выход 4 в северный вестибюль;37.4833208;55.6647681;Юго-Западная;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:45, по 2 пути в 05:51:50; последний поезд по 1 пути в 01:45:15, по 2 пути в 01:11:50";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:00, по 2 пути в 05:45:00; последний поезд по 1 пути в 01:43:20, по 2 пути в 01:03:00";;6;6;;1774085;{type=Point, coordinates=[37.4833208311441, 55.6647677313769]}
528;Южная, вход-выход 1 в южный вестибюль;37.6077169;55.6213608;Южная;Серпуховско-Тимирязевская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:40, по 2 пути в 05:55:25; последний поезд по 1 пути в 01:11:55, по 2 пути в 01:51:55";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:49:30, по 2 пути в 05:43:10; последний поезд по 1 пути в 01:11:55, по 2 пути в 01:51:55";;3;3;;1774086;{type=Point, coordinates=[37.6077169302387, 55.6213604306893]}
532;Южная, вход-выход 1 в северный вестибюль;37.6090425;55.6235439;Южная;Серпуховско-Тимирязевская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:40, по 2 пути в 05:55:25; последний поезд по 1 пути в 01:11:55, по 2 пути в 01:51:55";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:49:30, по 2 пути в 05:43:10; последний поезд по 1 пути в 01:11:55, по 2 пути в 01:51:55";;4;4;;1774087;{type=Point, coordinates=[37.6090425300858, 55.6235435308756]}
