Локальный идентификатор;Наименование;Долгота в WGS-84;Широта в WGS-84;Станция метрополитена;Линия;Режим работы по чётным дням;Режим работы по нечётным дням;Количество полнофункциональных БПА (все типы билетов);Количество малофункциональных БПА (билеты на 1 и 2 поездки);Общее количество БПА;Ремонт эскалаторов;global_id;Геоданные
549;Нахимовский проспект, вход-выход 1 в северный вестибюль;37.6062028;55.663502;Нахимовский проспект;Серпуховско-Тимирязевская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:25; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 05:18:35; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";;4;4;;1773773;{type=Point, coordinates=[37.6062028306935, 55.6635016312625]}
551;Нахимовский проспект, вход-выход 3 в северный вестибюль;37.6069995;55.6635432;Нахимовский проспект;Серпуховско-Тимирязевская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:25; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 05:18:35; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";;4;4;;1773774;{type=Point, coordinates=[37.6069995303466, 55.6635428312545]}
547;Нахимовский проспект, вход-выход 1 в южный вестибюль;37.6041081;55.661613;Нахимовский проспект;Серпуховско-Тимирязевская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:25; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 05:18:35; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";;4;4;;1773775;{type=Point, coordinates=[37.6041081301346, 55.6616126310736]}
548;Нахимовский проспект, вход-выход 2 в южный вестибюль;37.6047437;55.6617517;Нахимовский проспект;Серпуховско-Тимирязевская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:25; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 05:18:35; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";;4;4;;1773776;{type=Point, coordinates=[37.6047437304169, 55.6617513310451]}
550;Нахимовский проспект, вход-выход 2 в северный вестибюль;37.6061591;55.6637839;Нахимовский проспект;Серпуховско-Тимирязевская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:25; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 05:18:35; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";;4;4;;1773777;{type=Point, coordinates=[37.6061591303505, 55.6637835309487]}
226;Новогиреево, вход-выход 2 в западный вестибюль;37.8145804;55.7522622;Новогиреево;Калининская линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";;6;6;;1773778;{type=Point, coordinates=[37.8145804307464, 55.7522618315669]}
228;Новогиреево, вход-выход 4 в западный вестибюль;37.81491;55.751722;Новогиреево;Калининская линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";;6;6;;1773779;{type=Point, coordinates=[37.8149100307077, 55.7517216311899]}
232;Новогиреево, вход-выход 4 в восточный вестибюль;37.8185824;55.7512382;Новогиреево;Калининская линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";;7;7;;1773780;{type=Point, coordinates=[37.8185824307212, 55.7512378312526]}
229;Новогиреево, вход-выход 1 в восточный вестибюль;37.8184026;55.7516932;Новогиреево;Калининская линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";;7;7;;1773781;{type=Point, coordinates=[37.8184026302231, 55.7516928312847]}
236;Новокосино, вход-выход 1 в восточный вестибюль;37.8655979;55.7461213;Новокосино;Калининская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";;2;2;;1773782;{type=Point, coordinates=[37.8655979309488, 55.7461209314434]}
237;Новокосино, вход-выход 2 в восточный вестибюль;37.8658385;55.744476;Новокосино;Калининская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";;2;2;;1773783;{type=Point, coordinates=[37.8658385312196, 55.7444756314857]}
235;Новокосино, вход-выход 3 в западный вестибюль;37.8625401;55.7438943;Новокосино;Калининская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";;2;2;;1773784;{type=Point, coordinates=[37.8625401312932, 55.7438939313723]}
234;Новокосино, вход-выход 2 в западный вестибюль;37.8623576;55.7441695;Новокосино;Калининская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";;2;2;;1773785;{type=Point, coordinates=[37.8623576313573, 55.7441691313291]}
233;Новокосино, вход-выход 1 в западный вестибюль;37.861671;55.745471;Новокосино;Калининская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";;2;2;;1773786;{type=Point, coordinates=[37.8616710310218, 55.7454706311417]}
137;Новокузнецкая, вход в вестибюль;37.6292367;55.7422968;Новокузнецкая;Замоскворецкая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:10, по 2 пути в 05:46:10; последний поезд по 1 пути в 01:37:20, по 2 пути в 01:30:50";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:10, по 2 пути в 05:46:10; последний поезд по 1 пути в 01:37:20, по 2 пути в 01:28:25";;3;3;16.11.2016-21.12.2016;1773787;{type=Point, coordinates=[37.6292367305867, 55.7422964313005]}
789;Пушкинская, вход-выход 1 в совмещенный вестибюль;37.604118;55.7656698;Пушкинская;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:10, по 2 пути в 06:00:20; последний поезд по 1 пути в 01:29:00, по 2 пути в 01:37:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:30, по 2 пути в 05:57:50; последний поезд по 1 пути в 01:29:00, по 2 пути в 01:37:00";;5;5;;1773788;{type=Point, coordinates=[37.6041180306684, 55.7656694318062]}
5;Пятницкое шоссе, вход-выход 3 в южный вестибюль;37.354253;55.8546831;Пятницкое шоссе;Арбатско-Покровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 2 пути в 06:08:30; последний поезд по 1 пути в 02:06:00, по 2 пути в 01:03:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 2 пути в 05:47:15; последний поезд по 1 пути в 02:06:00, по 2 пути в 01:03:00";;2;2;;1773789;{type=Point, coordinates=[37.354253031161, 55.8546827325847]}
6;Пятницкое шоссе, вход-выход 4 в южный вестибюль;37.354014;55.855143;Пятницкое шоссе;Арбатско-Покровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 2 пути в 05:53:50; последний поезд по 1 пути в 02:06:00, по 2 пути в 01:03:00";"открытие в 05:30:00; закрытие в 01:00:00; по 2 пути в 05:51:00; последний поезд по 1 пути в 02:06:00, по 2 пути в 01:03:00";;2;2;;1773790;{type=Point, coordinates=[37.3540140316862, 55.8551426323352]}
